Title,Abstract,Image
Thực hiện dự án thí điểm cất giữ CO2 trong lòng đất tại Indonesia,"Hai công ty Nhật Bản J-Power và NUS sẽ thực hiện dự án thí điểm cất giữ CO2 sâu trong lòng đất tại Indonesia, bắt đầu từ năm 2021.",https://cdn.tuoitre.vn/thumb_w/640/2020/9/22/photo-1-16007596175262059568566.jpg
Xây dựng đề án chuyển ĐH Quảng Nam là thành viên ĐH Đà Nẵng,"TTO - Tỉnh Quảng Nam yêu cầu hoàn thiện đề án, phấn đấu đến đầu năm 2023, Đại học Quảng Nam hoạt động dưới sự quản lý của Đại học Đà Nẵng.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/dh-quang-nam-1600755305048963322945.jpg
"Phá ổ đánh bạc ngàn tỉ bằng cá độ bóng đá, lô đề ở Quảng Bình","TTO - Một ổ bạc gồm nhiều hình thức như cá độ bóng đá, lô đề với số tiền lên đến hơn 1.000 tỉ đồng vừa bị Công an tỉnh Quảng Bình phá thành công.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/danh-bac-16007564739521066419244.jpg
Robot lấy mẫu xét nghiệm COVID-19 nhanh và an toàn,Robot SwabBot do Singapore chế tạo đã được đưa vào sử dụng lấy mẫu dịch nhầy ở mũi để xét nghiệm virus SARS-CoV-2 gây bệnh viêm đường hô hấp cấp COVID-19.,https://cdn.tuoitre.vn/thumb_w/640/2020/9/22/photo-1-16007594464651020879102.jpg
Ông Hun Sen bức xúc vì phương Tây 'ngó lơ' thành tựu của Campuchia,"TTO - Thủ tướng Hun Sen chỉ trích phương Tây về cái gọi là ""tiêu chuẩn kép"" và việc không đánh giá cao các thành tựu của Campuchia. Thậm chí báo Phnom Penh Post chạy dòng tít ngày 21-9: ""Thủ tướng Hun Sen: Phương Tây không công bằng với Campuchia"".",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/hun-sen-16007458192681435705443.jpg
Nhật Bản phát triển giống lúa có khả năng chịu mặn,"Các nhà khoa học Nhật Bản vừa phát triển một giống lúa mới có khả năng chịu mặn, có thể giúp tăng năng suất của những cánh đồng ngập mặn.",https://cdn.tuoitre.vn/thumb_w/640/2020/9/22/photo-1-16007592423111902981009.jpg
Viện KSND tối cao xác minh tố cáo công an quận ‘lập khống biên bản bắt quả tang’,"TTO - Vụ 6, Viện kiểm sát nhân dân tối cao cho rằng tố cáo của công dân về việc Công an quận Bắc Từ Liêm lập khống biên bản bắt giữ người quả tang là có cơ sở nên cần kiểm tra, xác minh.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/bat-coc-16007557295281870341402.jpg
Mỏi mắt tìm trọng tài giỏi Kỳ 3: Ban trọng tài phủi trách nhiệm,"TTO - Theo thống kê, trong số 77 trận đấu đã diễn ra ở 11 vòng đấu của V-League 2020, có đến 10 trận đấu trọng tài mắc sai sót nghiêm trọng ảnh hưởng đến kết quả trận đấu.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/trong-tai-mai-xuan-hung-1600740855605788814053.jpg
"Phó thủ tướng: Nhu cầu sở hữu ôtô ngày càng nhiều, phải có ôtô thương hiệu Việt","TTO - Chính phủ, Thủ tướng Chính phủ sẽ có nhiều giải pháp khuyến khích phát triển ngành ôtô Việt Nam trước xu hướng ôtô hóa, nhu cầu sở hữu ôtô ngày càng tăng.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/photo-1-16007542246381046773079.jpg
Vì sao bão số 5 chỉ mạnh cấp 8 nhưng 272 cột điện ở Huế gãy đổ?,"TTO - Cơn bão số 5 chỉ mạnh cấp 8 nhưng hơn 270 cột điện ở Thừa Thiên Huế gãy đổ khiến dư luận quan tâm, đặt câu hỏi về chất lượng của cột điện tại địa phương.",https://cdn.tuoitre.vn/thumb_w/586/2020/9/22/119734465744488522798343303211987647114184n-16007493383671257440300.jpg
